DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
200513040,08/16/2020 0:00,08/16/2020 0:00,1830,5,Harbor,521,1,220,ATTEMPTED ROBBERY,0329 0400 0429 1218 1814 2000 2004 0913 0910,42,F,W,124,BUS STOP,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,220,451,,,GAFFEY,WESTMONT,33.7645,-118.2935
201915946,10/21/2020 0:00,10/20/2020 0:00,2315,19,Mission,1962,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0334 1822 0302,45,F,H,247,CAR WASH,109,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,230,,,,9800 N  SEPULVEDA                    BL,,34.2482,-118.4674
230911060,06/26/2023 0:00,06/26/2023 0:00,1156,9,Van Nuys,974,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0325 1822,23,F,W,402,MARKET,,,IC,Invest Cont,343,,,,14800    VENTURA                      BL,,34.1547,-118.453
201709771,06/06/2020 0:00,06/06/2020 0:00,1000,17,Devonshire,1705,1,330,BURGLARY FROM VEHICLE,1202 0377 1609 0344,74,F,O,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,330,,,,17300    SESNON                       BL,,34.3074,-118.5108
222115683,10/21/2022 0:00,10/20/2022 0:00,1100,21,Topanga,2156,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,108,PARKING LOT,,,IC,Invest Cont,420,,,,21900    VANOWEN                      ST,,34.1938,-118.6044
200815084,10/10/2020 0:00,10/10/2020 0:00,1030,8,West LA,822,1,330,BURGLARY FROM VEHICLE,0930 1210 0358 0344 1822,34,F,W,108,PARKING LOT,,,IC,Invest Cont,330,,,,SUNSET                       BL,TEMESCAL CAN                 RD,34.043,-118.5398
240505107,01/29/2024 0:00,01/29/2024 0:00,2158,5,Harbor,541,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 1814 0448 0421,46,F,H,108,PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,900 N  WESTERN                      AV,,33.7501,-118.3092
210510022,06/07/2021 0:00,05/26/2021 0:00,1200,5,Harbor,504,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0394,42,F,H,710,OTHER PREMISE,,,IC,Invest Cont,440,,,,1500    TORRANCE                     BL,,33.8403,-118.306
200113466,06/16/2020 0:00,06/16/2020 0:00,138,1,Central,162,1,310,BURGLARY,0329 1601 1822 1414 1403 0417 1402,0,X,X,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,310,998,,,800 S  FLOWER                       ST,,34.0473,-118.2601
221711461,07/21/2022 0:00,07/21/2022 0:00,1430,17,Devonshire,1779,2,624,BATTERY - SIMPLE ASSAULT,1810 0913 0416,28,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,16000    TUPPER                       ST,,34.2392,-118.4807
201209358,03/17/2020 0:00,03/17/2020 0:00,1350,12,77th Street,1208,1,210,ROBBERY,2000 1814 0913 0418 0345 0448 0429 0344 2038 0216,27,F,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,210,626,910,,700 W  52ND                         ST,,33.9997,-118.2849
230409734,06/25/2023 0:00,06/25/2023 0:00,300,4,Hollenbeck,491,1,220,ATTEMPTED ROBBERY,0400,44,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,220,,,,OLYMPIC,BOYLE,34.0246,-118.2207
211412710,06/01/2021 0:00,06/01/2021 0:00,1325,14,Pacific,1412,2,437,RESISTING ARREST,1501,0,X,X,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,437,,,,CLUBHOUSE,OCEAN FRONT                  WK,33.9892,-118.4751
231115359,11/04/2023 0:00,08/01/2023 0:00,1800,11,Northeast,1171,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0352,27,M,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,341,,,,1700    LUCILE                       AV,,34.0932,-118.277
210916346,11/10/2021 0:00,11/10/2021 0:00,240,9,Van Nuys,981,1,250,"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",1300 1310 1822 0334 1414 0340 1312,35,M,B,101,STREET,102,HAND GUN,IC,Invest Cont,250,,,,SEPULVEDA                    BL,VENTURA                      BL,34.1538,-118.4662
232013543,08/01/2023 0:00,08/01/2023 0:00,115,20,Olympic,2093,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1814 0444 0448 1311 0447 0432,29,F,H,122,"VEHICLE, PASSENGER/TRUCK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,1900 W  20TH                         ST,,34.0382,-118.3003
221200516,01/13/2022 0:00,01/13/2022 0:00,2000,12,77th Street,1203,2,946,OTHER MISCELLANEOUS CRIME,1402 1407 1419,0,X,X,101,STREET,,,AA,Adult Arrest,946,,,,1600 W  47TH                         ST,,34.001,-118.3068
210612698,07/14/2021 0:00,07/14/2021 0:00,1020,6,Hollywood,645,2,888,TRESPASSING,1501 1822 2004 1402,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,888,998,,,6800    HOLLYWOOD                    BL,,34.1016,-118.3391
210918241,12/31/2021 0:00,12/31/2021 0:00,1200,9,Van Nuys,964,1,330,BURGLARY FROM VEHICLE,0344,61,F,H,108,PARKING LOT,,,IC,Invest Cont,330,,,,14000    RIVERSIDE                    DR,,34.1576,-118.4387
221312663,06/09/2022 0:00,06/09/2022 0:00,1415,13,Newton,1393,2,624,BATTERY - SIMPLE ASSAULT,1822 1313 1309 0446 1259 1251 0416,14,M,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,100 W  69TH                         ST,,33.9774,-118.2739
241513019,08/21/2024 0:00,08/17/2024 0:00,1450,15,N Hollywood,1549,2,888,TRESPASSING,1822 2052 1501 0910 2004,0,X,X,913,MTA - RED LINE - NORTH HOLLYWOOD,,,AA,Adult Arrest,888,,,,5300    LANKERSHIM                   BL,,34.172,-118.3789
230613797,08/13/2023 0:00,08/11/2023 0:00,1,6,Hollywood,644,2,946,OTHER MISCELLANEOUS CRIME,1501,38,F,W,119,"PORCH, RESIDENTIAL",,,IC,Invest Cont,946,,,,1400 N  FORMOSA                      AV,,34.0962,-118.3462
231509155,05/02/2023 0:00,05/02/2023 0:00,1630,15,N Hollywood,1504,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,RADFORD                      AV,RUNNYMEDE                    ST,34.2057,-118.3921
231014885,10/18/2023 0:00,10/14/2023 0:00,1200,10,West Valley,1049,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,VICTORY                      BL,GLORIA                       BL,34.1866,-118.4793
201610349,06/23/2020 0:00,06/23/2020 0:00,2255,16,Foothill,1638,1,310,BURGLARY,1822 0358 1307,0,M,O,725,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",,,IC,Invest Cont,310,,,,7700    FOOTHILL                     BL,,34.2595,-118.293
220205202,01/29/2022 0:00,01/29/2022 0:00,1500,2,Rampart,246,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0334 0445 0411 1822 1210,51,M,H,101,STREET,200,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,230,,,,ALVARADO,WILSHIRE,34.0579,-118.2759
200308858,03/21/2020 0:00,03/19/2020 0:00,2000,3,Southwest,333,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,2800    SOMERSET                     DR,,34.0312,-118.3374
202015045,09/23/2020 0:00,09/23/2020 0:00,1435,20,Olympic,2064,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0913 0329,0,X,X,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,Adult Other,740,,,,1100 S  ARDMORE                      AV,,34.0491,-118.3021
211519134,12/28/2021 0:00,12/27/2021 0:00,1530,15,N Hollywood,1567,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,10700    MOORPARK                     ST,,34.1504,-118.364
241713601,10/12/2024 0:00,10/04/2024 0:00,2200,17,Devonshire,1755,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1606 2004 0344,30,M,O,101,STREET,,,IC,Invest Cont,331,,,,LEMARSH                      ST,ZELZAH                       AV,34.2532,-118.5278
241413809,10/04/2024 0:00,10/02/2024 0:00,1130,14,Pacific,1407,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,10100    PALMS                        BL,,34.0284,-118.4048
201706316,02/22/2020 0:00,02/21/2020 0:00,1200,17,Devonshire,1794,1,310,BURGLARY,0344,0,X,X,203,OTHER BUSINESS,,,AA,Adult Arrest,310,,,,8600    RESEDA                       BL,,34.2265,-118.5361
221207462,03/05/2022 0:00,03/05/2022 0:00,2245,12,77th Street,1252,1,210,ROBBERY,1822 0342 0302 0321 0216 0344,0,X,X,239,MEDICAL MARIJUANA FACILITIES/BUSINESSES,102,HAND GUN,AA,Adult Arrest,210,,,,7100    8TH                          AV,,33.9757,-118.3265
200216186,10/12/2020 0:00,10/09/2020 0:00,745,2,Rampart,218,1,330,BURGLARY FROM VEHICLE,1822 0329 0344 1605 0358,28,F,H,101,STREET,,,IC,Invest Cont,330,,,,1000 N  WEST KENSINGTON              RD,,34.0735,-118.2572
220514622,10/08/2022 0:00,10/08/2022 0:00,530,5,Harbor,551,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0408 0429 0432 0913 1309 1310 1311 1318,55,F,W,101,STREET,511,VERBAL THREAT,AA,Adult Arrest,230,,,,SANTA CRUZ                   ST,WESTERN                      AV,33.7449,-118.3096
201105267,01/30/2020 0:00,01/29/2020 0:00,2230,11,Northeast,1129,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 1813,40,F,A,501,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,626,,,,700 N  AVENUE 66,,34.1188,-118.1755
221309631,04/12/2022 0:00,04/12/2022 0:00,1125,13,Newton,1343,2,354,THEFT OF IDENTITY,1822 0930 0100,25,M,H,750,CYBERSPACE,,,IC,Invest Cont,354,,,,700 E  40TH                         PL,,34.0102,-118.2633
232104280,01/09/2023 0:00,01/08/2023 0:00,1300,21,Topanga,2136,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0385,25,M,H,101,STREET,,,IC,Invest Cont,331,,,,7400    VASSAR                       AV,,34.2047,-118.6044
240411283,11/01/2024 0:00,11/01/2024 0:00,100,4,Hollenbeck,477,1,310,BURGLARY,0344,49,F,H,720,JUNIOR HIGH SCHOOL,,,IC,Invest Cont,310,,,,2500 E  6TH                          ST,,34.037,-118.2127
241208835,03/23/2024 0:00,03/22/2024 0:00,1500,12,77th Street,1257,1,520,VEHICLE - ATTEMPT STOLEN,0329 1307 0358 1609,38,M,H,101,STREET,,,IC,Invest Cont,520,,,,500 W  79TH                         ST,,33.9693,-118.285
201915823,10/16/2020 0:00,10/16/2020 0:00,2255,19,Mission,1999,2,354,THEFT OF IDENTITY,0928,47,M,F,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,7800    WOODMAN                      AV,,34.212,-118.4309
240216731,11/05/2024 0:00,11/04/2024 0:00,2000,2,Rampart,236,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,200 S  WESTLAKE                     AV,,34.0649,-118.2696
230121938,10/15/2023 0:00,10/14/2023 0:00,1945,1,Central,152,1,330,BURGLARY FROM VEHICLE,0344 1501,37,M,W,707,GARAGE/CARPORT,,,IC,Invest Cont,330,,,,500 S  FLOWER                       ST,,34.0516,-118.2561
222013346,06/09/2022 0:00,06/09/2022 0:00,1035,20,Olympic,2058,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1822 0329,30,F,H,108,PARKING LOT,,,IC,Invest Cont,740,,,,900 S  WESTMORELAND                 AV,,34.0537,-118.2891
221615545,12/28/2022 0:00,10/02/2020 0:00,1200,16,Foothill,1677,2,354,THEFT OF IDENTITY,0100 0928,32,M,O,710,OTHER PREMISE,,,IC,Invest Cont,354,,,,9800    EDMORE                       PL,,34.2172,-118.3447
202009406,05/06/2020 0:00,05/06/2020 0:00,605,20,Olympic,2033,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1202 1822 0344,64,M,B,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,420,,,,600 S  WESTERN                      AV,,34.0602,-118.3091
221319121,10/10/2022 0:00,10/08/2022 0:00,1930,13,Newton,1307,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,7TH                          ST,STANFORD                     AV,34.0387,-118.2439
201517509,11/13/2020 0:00,11/03/2020 0:00,1919,15,N Hollywood,1527,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344,0,M,W,404,DEPARTMENT STORE,,,IC,Invest Cont,442,,,,11000    VICTORY                      BL,,34.1867,-118.3706
210906987,03/16/2021 0:00,03/15/2021 0:00,2323,9,Van Nuys,985,1,510,VEHICLE - STOLEN,,0,,,123,PARKING UNDERGROUND/BUILDING,,,AA,Adult Arrest,510,,,,14400    BENEFIT                      ST,,34.1486,-118.4463
221418021,10/22/2022 0:00,10/22/2022 0:00,2240,14,Pacific,1458,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 0400 1822,34,M,H,108,PARKING LOT,303,BRASS KNUCKLES,IC,Invest Cont,230,,,,4400 S  SLAUSON                      AV,,33.9986,-118.4148
212006920,01/20/2021 0:00,01/19/2021 0:00,2100,20,Olympic,2015,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1822 0329,29,M,B,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,3900    BEVERLY                      BL,,34.0763,-118.2931
201311537,05/28/2020 0:00,05/28/2020 0:00,520,13,Newton,1367,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 2004,28,M,H,121,YARD (RESIDENTIAL/BUSINESS),,,IC,Invest Cont,420,,,,4800    STAUNTON                     AV,,34.0002,-118.2421
201508459,04/06/2020 0:00,04/03/2020 0:00,1700,15,N Hollywood,1562,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,AA,Adult Arrest,510,,,,12700    MOORPARK                     ST,,34.1533,-118.4058
241409697,05/22/2024 0:00,05/22/2024 0:00,5,14,Pacific,1415,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0416,28,F,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,1000    PALMS                        BL,,34.0035,-118.4598
200318918,10/15/2020 0:00,10/13/2020 0:00,2030,3,Southwest,395,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 0342 0209 1309 0334 0449 1223,49,F,B,102,SIDEWALK,114,AIR PISTOL/REVOLVER/RIFLE/BB GUN,IC,Invest Cont,230,,,,WESTERN                      AV,41ST                         PL,34.0085,-118.3089
211210417,04/16/2021 0:00,04/16/2021 0:00,1220,12,77th Street,1245,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1100 0430 1402 1407 1300 1822,42,M,B,101,STREET,102,HAND GUN,IC,Invest Cont,230,,,,1300 W  71ST                         ST,,33.9754,-118.3003
211112565,09/03/2021 0:00,08/26/2021 0:00,1400,11,Northeast,1171,1,330,BURGLARY FROM VEHICLE,0344 0321 1302,33,M,W,101,STREET,,,IC,Invest Cont,330,,,,1700    REDESDALE                    AV,,34.0903,-118.2703
210507744,04/08/2021 0:00,04/08/2021 0:00,30,5,Harbor,513,2,624,BATTERY - SIMPLE ASSAULT,0913 0360 0400 2024,49,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,800    FIGUEROA                     PL,,33.779,-118.2809
222004263,01/08/2022 0:00,01/05/2022 0:00,1830,20,Olympic,2002,1,510,VEHICLE - STOLEN,,0,,,707,GARAGE/CARPORT,,,IC,Invest Cont,510,,,,5000    CLINTON                      ST,,34.0817,-118.3112
200104937,01/13/2020 0:00,01/12/2020 0:00,1641,1,Central,124,2,624,BATTERY - SIMPLE ASSAULT,2004 0416 0447 2035 1514 2055 0903,41,F,B,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,624,,,,200 N  LOS ANGELES                  ST,,34.0525,-118.2432
231704656,01/19/2023 0:00,01/19/2023 0:00,1200,17,Devonshire,1795,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 1822 1206,28,M,H,207,BAR/COCKTAIL/NIGHTCLUB,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,230,,,,8500    BALBOA                       BL,,34.2248,-118.5151
221304468,01/11/2022 0:00,01/11/2022 0:00,1130,13,Newton,1395,2,753,DISCHARGE FIREARMS/SHOTS FIRED,0906 1822 1100 1402 1407 1419 1416 1309 1310,0,M,X,101,STREET,102,HAND GUN,AA,Adult Arrest,753,998,,,500 E  FLORENCE                     AV,,33.9784,-118.263
250604023,12/16/2024 0:00,12/09/2024 0:00,1100,6,Hollywood,645,1,352,PICKPOCKET,1822 0344 1501,50,F,O,809,METROLINK TRAIN,,,IC,Invest Cont,352,,,,HOLLYWOOD                    BL,N  HIGHLAND                     AV,34.1016,-118.3387
211308434,04/11/2021 0:00,04/11/2021 0:00,1150,13,Newton,1367,2,860,BATTERY WITH SEXUAL CONTACT,0448 0500 1822,15,F,H,203,OTHER BUSINESS,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,860,,,,4500 S  ALAMEDA                      ST,,34.0001,-118.2389
220512733,08/20/2022 0:00,08/20/2022 0:00,1850,5,Harbor,511,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0913 2000 1814 0408 1419 1407 1402,19,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,236,998,,,25700    FRAMPTON                     AV,,33.7926,-118.3043
211818617,10/16/2021 0:00,10/16/2021 0:00,1630,18,Southeast,1801,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0411 1313 0603 0913 1300 2021,51,M,H,101,STREET,207,OTHER KNIFE,AA,Adult Arrest,230,,,,8900    ORCHARD                      AV,,33.9566,-118.2882
211406525,02/15/2021 0:00,02/19/2020 0:00,1115,14,Pacific,1403,1,330,BURGLARY FROM VEHICLE,1300 1607 0344,48,F,B,108,PARKING LOT,,,IC,Invest Cont,330,,,,10800    NATIONAL                     BL,,34.0301,-118.4272
202006399,02/17/2020 0:00,02/10/2020 0:00,1500,20,Olympic,2017,1,330,BURGLARY FROM VEHICLE,0344 1501 1202,70,M,B,101,STREET,,,IC,Invest Cont,330,,,,3RD                          ST,VERMONT,34.0691,-118.2917
202012519,07/24/2020 0:00,07/24/2020 0:00,915,20,Olympic,2038,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0104 0325 0344 0202,0,X,X,252,"COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.)",,,IC,Invest Cont,440,,,,3100    WILSHIRE                     BL,,34.0618,-118.2894
201307816,03/09/2020 0:00,03/08/2020 0:00,639,13,Newton,1331,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2004 1402 0913,31,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,230,648,998,,200 W  27TH                         ST,,34.0248,-118.2715
241509666,04/27/2024 0:00,04/17/2024 0:00,1355,15,N Hollywood,1549,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0325,41,M,W,406,OTHER STORE,,,IC,Invest Cont,343,,,,5400    LANKERSHIM                   BL,,34.1689,-118.3771
241213400,07/12/2024 0:00,07/11/2024 0:00,1000,12,77th Street,1239,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,59TH                         ST,MENLO,33.9874,-118.2892
221321334,11/23/2022 0:00,11/16/2022 0:00,1850,13,Newton,1354,1,310,BURGLARY,0344 1607,0,M,W,203,OTHER BUSINESS,,,IC,Invest Cont,310,,,,4300 S  MAIN                         ST,,34.0056,-118.274
230112885,05/23/2023 0:00,09/18/2022 0:00,2300,1,Central,152,1,121,"RAPE, FORCIBLE",2000 0400 0913 0500,20,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,121,,,,700 W  7TH                          ST,,34.0491,-118.2558
220911148,07/06/2022 0:00,06/03/2022 0:00,1203,9,Van Nuys,985,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1501 1822,31,F,H,203,OTHER BUSINESS,,,IC,Invest Cont,440,,,,14000    VENTURA                      BL,,34.149,-118.4372
231506970,03/12/2023 0:00,03/12/2023 0:00,1630,15,N Hollywood,1506,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0400 0416 1601 0334,35,F,H,102,SIDEWALK,200,KNIFE WITH BLADE 6INCHES OR LESS,AO,Adult Other,230,,,,11300    COVELLO                      ST,,34.2075,-118.3769
221320000,10/27/2022 0:00,10/27/2022 0:00,300,13,Newton,1383,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,65,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,745,,,,6100 S  MAIN                         ST,,33.9842,-118.2739
211116795,12/25/2021 0:00,12/23/2021 0:00,2000,11,Northeast,1175,1,210,ROBBERY,0444 0344 0400 0420,28,M,O,109,PARK/PLAYGROUND,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,STADIUM                      WY,ELYSIAN PARK                 DR,34.0861,-118.2431
201805714,02/01/2020 0:00,02/01/2020 0:00,1040,18,Southeast,1841,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0603 0421 0432,29,M,H,108,PARKING LOT,511,VERBAL THREAT,IC,Invest Cont,930,,,,11300 S  VERMONT                      AV,,33.932,-118.2916
230115248,07/03/2023 0:00,07/01/2023 0:00,2100,1,Central,192,1,330,BURGLARY FROM VEHICLE,0329 0344 1307 1609,24,F,W,116,OTHER/OUTSIDE,,,IC,Invest Cont,330,,,,18TH                         ST,FLOWER                       ST,34.0353,-118.2699
210708773,05/05/2021 0:00,05/05/2021 0:00,910,7,Wilshire,765,2,845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,0500,0,M,O,726,POLICE FACILITY,,,AA,Adult Arrest,845,,,,4800    VENICE                       BL,,34.0467,-118.3407
241207746,03/04/2024 0:00,03/04/2024 0:00,1500,12,77th Street,1241,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 0216 0400 0416 0447 0342,19,F,H,102,SIDEWALK,306,ROCK/THROWN OBJECT,IC,Invest Cont,230,,,,6300    10TH                         AV,,33.9829,-118.3279
220222387,12/30/2022 0:00,12/30/2022 0:00,330,2,Rampart,205,1,761,BRANDISH WEAPON,0913 0334 0443 0361,57,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",207,OTHER KNIFE,AO,Adult Other,761,930,,,900 N  VENDOME                      ST,,34.0823,-118.2755
230908206,04/15/2023 0:00,04/14/2023 0:00,1600,9,Van Nuys,938,2,900,VIOLATION OF COURT ORDER,2038 1501,32,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,Adult Other,900,,,,13400    VICTORY                      BL,,34.1867,-118.4247
210917563,12/13/2021 0:00,12/12/2021 0:00,2020,9,Van Nuys,933,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344,26,F,H,104,DRIVEWAY,,,IC,Invest Cont,420,,,,14800    CALVERT                      ST,,34.1817,-118.4553
231917317,12/01/2023 0:00,12/01/2023 0:00,2115,19,Mission,1983,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,1813 2000 0913 0448,48,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,15100    PARTHENIA                    ST,,34.2282,-118.4611
210206447,03/02/2021 0:00,03/02/2021 0:00,2050,2,Rampart,205,2,624,BATTERY - SIMPLE ASSAULT,0554 0400 0444 0913 0602,41,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,600    PARKMAN                      AV,,34.0774,-118.2768
220714860,10/03/2022 0:00,10/03/2022 0:00,715,7,Wilshire,727,2,888,TRESPASSING,1501,48,M,W,121,YARD (RESIDENTIAL/BUSINESS),,,IC,Invest Cont,888,,,,100 N  ORANGE                       DR,,34.0736,-118.3419
211610383,08/09/2021 0:00,08/09/2021 0:00,1500,16,Foothill,1685,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,8000    LANKERSHIM                   BL,,34.2173,-118.3835
230125972,12/09/2023 0:00,12/09/2023 0:00,1130,1,Central,153,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 2033 0416 0447,42,M,W,102,SIDEWALK,212,BOTTLE,IC,Invest Cont,230,,,,500 S  BROADWAY,,34.0481,-118.2507
231213067,05/30/2023 0:00,05/30/2023 0:00,950,12,77th Street,1215,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1300 0416 1813 0913 1202,65,M,B,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,SLAUSON                      AV,HARBOR                       FY,33.9921,-118.298
240308128,03/22/2024 0:00,03/22/2024 0:00,100,3,Southwest,354,1,761,BRANDISH WEAPON,0329 0913 1202 0334 2002,66,M,B,501,SINGLE FAMILY DWELLING,511,VERBAL THREAT,AO,Adult Other,761,930,,,3400    6TH                          AV,,34.0256,-118.3236
221809712,04/25/2022 0:00,04/24/2022 0:00,1500,18,Southeast,1802,1,330,BURGLARY FROM VEHICLE,0329 1822 1609 0344,27,F,H,101,STREET,,,IC,Invest Cont,330,,,,200 W  87TH                         ST,,33.9586,-118.2761
